name,salary,currency,organization,city,experience,link
BI/Data-аналитик,100000 – 100000,₽,ООО СКИФМЬЮЗИК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93680507?query=BI&hhtmFrom=vacancy_search_list
Аналитик BI,70000 – 70000,₽,ВИТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92952762?query=BI&hhtmFrom=vacancy_search_list
Консультант (стажер) SAP BW/BI,,,"ООО ""Сибинтек-Софт""",Самара,Без опыта,https://samara.hh.ru/vacancy/93663850?query=BI&hhtmFrom=vacancy_search_list
Ведущий эксперт SAP BW/BI,,,ПАО Т Плюс,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91878700?query=BI&hhtmFrom=vacancy_search_list
Специалист аналитического отдела,от 50000,₽,ООО Управляющая компания Яр-Групп,Самара,Без опыта,https://samara.hh.ru/vacancy/92899102?query=BI&hhtmFrom=vacancy_search_list
Специалист технической поддержки (Service Desk),от 45000,₽,ВИТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/94041206?query=BI&hhtmFrom=vacancy_search_list
Аналитик,,, Альфа-Банк,Самара,Без опыта,https://samara.hh.ru/vacancy/94010988?query=BI&hhtmFrom=vacancy_search_list
Аналитик,,,ЭЛЕКТРОЩИТ САМАРА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92239891?query=BI&hhtmFrom=vacancy_search_list
Менеджер по развитию информационных потоков и отчетности,,,Пивоваренная компания Балтика,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91219124?query=BI&hhtmFrom=vacancy_search_list
Аналитик,,,ФУДЖИ FRIENDS,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93800397?query=BI&hhtmFrom=vacancy_search_list
Аналитик на базе Excel,70000 – 85000,₽,ВИТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93876929?query=BI&hhtmFrom=vacancy_search_list
Дата инженер (Data engineer) (Управление модельных рисков и валидации),,,"ПАО ВТБ, Технологический блок",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91677281?query=BI&hhtmFrom=vacancy_search_list
Специалист по речевой аналитике (удаленно),,,Райффайзен Банк,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92901721?query=BI&hhtmFrom=vacancy_search_list
Аналитик-разработчик QlikSense,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92411499?query=BI&hhtmFrom=vacancy_search_list
Экономист по управленческому учету,от 70000,₽,Группа компаний Бизнес-Гарант,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91511308?query=BI&hhtmFrom=vacancy_search_list
Специалист по речевой аналитике,от 65000,₽,ПАО «МТС» ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/89294752?query=BI&hhtmFrom=vacancy_search_list
Аналитик данных,50000 – 100000,₽,Сеть магазинов цифровой и бытовой техники DNS,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93443376?query=BI&hhtmFrom=vacancy_search_list
Junior System Analyst / Младший системный аналитик в CRM проекты,60000 – 80000,₽,ООО Гуд Программ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93496160?query=BI&hhtmFrom=vacancy_search_list
Аналитик по экономической эффективности,от 61950,₽,"«Почта России», Офис",Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93194836?query=BI&hhtmFrom=vacancy_search_list
Старший аналитик клиентского опыта,,,"ПАО МегаФон, Офис",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93669873?query=BI&hhtmFrom=vacancy_search_list
