name,salary,url,organization,address,experience
Специалист по ценообразованию,69000-87500 ₽,https://samara.hh.ru/vacancy/91385495?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Аптеки Плюс,"Самара, Волжское шоссе, 101А",1–3 года
Системный аналитик (middle),150000-190000 ₽,https://samara.hh.ru/vacancy/94021975?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Ойком,,3–6 лет
Системный аналитик,,https://samara.hh.ru/vacancy/91311649?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО 42,,1–3 года
Системный аналитик (middle),,https://samara.hh.ru/vacancy/94192043?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Аптеки Плюс,,1–3 года
Старший аналитик клиентского опыта,,https://samara.hh.ru/vacancy/93212143?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ПАО МегаФон, Офис",", Московское шоссе, 15Самара",1–3 года
Ведущий специалист отдела обеспечения учета и выпуска обучающихся,40000 ₽,https://samara.hh.ru/vacancy/92906631?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,,1–3 года
Системный аналитик (middle),155000 ₽,https://samara.hh.ru/vacancy/90879192?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ANCOR,,1–3 года
Системный аналитик (middle),,https://samara.hh.ru/vacancy/93805918?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ГК Иннотех | Большие данные,,1–3 года
Разработчик 1С (Junior/Middle),,https://samara.hh.ru/vacancy/91753605?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"МАГНИТ, Розничная сеть",,1–3 года
Специалист-аналитик,60000 ₽,https://samara.hh.ru/vacancy/92869677?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алабуга. Привлечение инвестиций,,не требуется
Аналитик бизнес-процессов / методолог,46000-52000 ₽,https://samara.hh.ru/vacancy/93509996?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ВИТА,"Самара, улица Куйбышева, 110",1–3 года
,80000-160000 ₽,https://samara.hh.ru/vacancy/93661456?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алабуга. Human Resources ,", Особая экономическая зона АлабугаЕлабужский район",1–3 года
Бизнес - аналитик (нефтегаз / upstream),,https://samara.hh.ru/vacancy/90730315?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,AVBINVEST LIMITED,,3–6 лет
Рекрутер в команду массового подбора персонала,60000 ₽,https://samara.hh.ru/vacancy/92720758?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Яндекс Крауд,,1–3 года
Старший аналитик по обращаемости клиентов,,https://samara.hh.ru/vacancy/92864587?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,"ПАО МегаФон, IT",,1–3 года
Старший аналитик клиентского опыта,32000-32000 ₽,https://samara.hh.ru/vacancy/92712547?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ГК Выбор,", Черемшанская улица, 199БезымянкаСамара, ",1–3 года
Стажер-программист 1С (0.5 ставки),,https://samara.hh.ru/vacancy/94011248?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Компания Апогей (1С-франчайзи),", , Московское шоссе, 4Ас2РоссийскаяАлабинскаяМосковскаяСамара",не требуется
Аналитик 1С по оперативному учету,150000-220000 ₽,https://samara.hh.ru/vacancy/94072356?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Системный Администратор,,3–6 лет
Тренинг-менеджер,,https://samara.hh.ru/vacancy/93360854?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Ozon Fintech,,1–3 года
Системный аналитик,,https://samara.hh.ru/vacancy/92574783?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Сбер для экспертов,,1–3 года
Куратор в онлайн сервис (удаленно),40000-40000 ₽,https://samara.hh.ru/vacancy/93149716?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Ойком,,1–3 года
Аналитик 1 С,150000-230000 ₽,https://samara.hh.ru/vacancy/93241269?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО Ракета,,1–3 года
"Финансист, удаленно",90000-125000 ₽,https://samara.hh.ru/vacancy/93337051?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,BIZNESKRUCHE,,3–6 лет
