name,salary,currency,organization,city,experience,link
Младший аналитик,до 40000,₽,РБК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/94021180?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,ПАО Ростелеком,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/92052094?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик middle,150000 – 190000,₽,ООО Ойком,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/94021975?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик по развитию качества сервиса,,,"ПАО МегаФон, Офис",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/94048565?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Консультант/аналитик 1С ERP,200000 – 280000,₽,КРОН,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91350034?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,ООО 42,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91311649?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик 1С (Middle) в аккредитованную IT-компанию,150000 – 230000,₽,ООО Ракета,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93241269?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Оператор-аналитик,,,ДАЛИМО,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93944672?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик SQL- Качества данных,,,ООО ГК Иннотех | Большие данные,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93805918?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Business Analyst / Аналитик бизнес-процессов,,,AVBINVEST LIMITED,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/90730315?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
BI/Data-аналитик,100000 – 100000,₽,ООО СКИФМЬЮЗИК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93680507?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Консультант 1С/Аналитик 1С/Стажер 1C,40000 – 80000,₽,ООО Производственная Безопасность и Экология,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90599166?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
"Системный аналитик 1С (стажер, 0.5 ставки)",,,Компания Апогей (1С-франчайзи),Самара,Без опыта,https://samara.hh.ru/vacancy/94011248?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик,,,ФУДЖИ FRIENDS,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93800397?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик (IT),,,"Программные Технологии, г. Самара",Самара,Без опыта,https://samara.hh.ru/vacancy/93871111?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик BI,70000 – 70000,₽,ВИТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92952762?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Бизнес - аналитик CRM,,,ПАО Т Плюс,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93880056?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик-разработчик QlikSense,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92411499?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Маркетинговый аналитик,,,red_mad_robot,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93808826?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Бизнес-аналитик по автоматизации процессов (логистика),,,"МАГНИТ, Розничная сеть",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93907255?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий специалист (аналитик данных),от 40000,₽,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92906631?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик (ССM),,,Nexign (АО Нэксайн),Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93459563?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,Demis Group,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93371240?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,Стратосфера,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93335319?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Экономист-аналитик,,,ООО Алкогольная Региональная Компания,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93319715?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик,,,ЭР-Телеком,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92897641?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик,от 60000,₽,Алабуга. Привлечение инвестиций,Самара,Без опыта,https://samara.hh.ru/vacancy/92869677?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по трейд-маркетингу (аналитик),,,ОАО ПКК ВЕСНА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93519403?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик отдела маркетинга,от 69000,₽,Фирма Нектар,Самара,Без опыта,https://samara.hh.ru/vacancy/93352632?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик в Тинькофф Путешествия,,,Тинькофф,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93449114?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,Аптеки Плюс,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93086294?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Главный инженер по сопровождению (Витрины данных),,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93352796?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Бизнес-аналитик по автоматизации процессов отчетности,,,"МАГНИТ, Розничная сеть",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92126813?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий бизнес-аналитик. Регламентированный учет,от 100328,₽,ООО 1C-Рарус,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93407290?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий аналитик отдела анализа финансово-хозяйственной деятельности организаций,от 39000,₽,ГБУ СО Информационно-Технический Центр Ценообразования,Самара,Без опыта,https://samara.hh.ru/vacancy/93550627?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Бизнес/Системный аналитик,140000 – 180000,₽,РВД Инфосистемы,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93201974?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Специалист по финансовой аналитике,80000 – 92000,₽,Аптеки Плюс,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/90904123?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик DWH,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92976298?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Финансовый аналитик,до 67000,₽,"МАГНИТ, Розничная сеть",Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/86317215?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик,,,Сбер для экспертов,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92927496?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Аналитик в команду WFM,от 60000,₽,Яндекс Крауд,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92720758?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Системный аналитик (платформа Автокредитование),,,ООО ГК Иннотех | Финтех (Иннотех),Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/82127745?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Специалист нормативно-справочной информации (НСИ)/Аналитик,,,ООО РН-Учет,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92843684?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Ведущий финансовый бизнес-аналитик,от 120000,₽,ВИТА,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91073887?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Менеджер по персоналу,от 44000,₽,GSR РАБОТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93559425?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
