name,rating,count_mark,price,link,path
Кроссовки Tiffany Co Nike,5,22 оценки,4 177 ₽,https://www.wildberries.ru/catalog/175881289/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Tiffany Co Nike.jpg
Кроссовки Air Force Nike,4.9,47 оценок,2 150 ₽,https://www.wildberries.ru/catalog/159341189/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Air Force Nike.jpg
Кроссовки Air Force Nike,4.9,47 оценок,2 150 ₽,https://www.wildberries.ru/catalog/159341068/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Air Force Nike.jpg
Кроссовки Air Force Nike,4.9,47 оценок,2 150 ₽,https://www.wildberries.ru/catalog/159340235/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Air Force Nike.jpg
Кроссовки Air Force Nike,4.9,47 оценок,2 150 ₽,https://www.wildberries.ru/catalog/159336585/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Air Force Nike.jpg
Кроссовк Air Force Nike,4.9,47 оценок,2 150 ₽,https://www.wildberries.ru/catalog/159336465/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовк Air Force Nike.jpg
Кроссовки Quest 4 Nike,4.9,19 оценок,8 024 ₽,https://www.wildberries.ru/catalog/109333435/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Quest 4 Nike.jpg
Кроссовки Run Swift 2 Nike,4.8,24 оценки,5 640 ₽,https://www.wildberries.ru/catalog/153392153/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки Run Swift 2 Nike.jpg
Кроссовки AIR MAX 270 REACT GS Nike,4.8,23 оценки,7 237 ₽,https://www.wildberries.ru/catalog/104090962/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки AIR MAX 270 REACT GS Nike.jpg
Кроссовки M AIR MAX ALPHA TRAINER 5 Nike,4.8,20 оценок,10 426 ₽,https://www.wildberries.ru/catalog/206391526/detail.aspx,C:\Users\pavel\Desktop\code\data markup\sem_07\кроссовки мужские Nike\Кроссовки M AIR MAX ALPHA TRAINER 5 Nike.jpg
