name,salary,currency,organization,city,experience,link
Врач - педиатр участковый,от 50000,₽,ГБУЗ СО СГП №10 Советского района,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91707845?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр участковый,50000 – 50000,₽,ГБУЗ СО Самарская городская поликлиника № 4 Кировского района,Самара,Без опыта,https://samara.hh.ru/vacancy/87822614?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-методист (врач-терапевт/врач-педиатр),от 50000,₽,Государственное бюджетное учреждение здравоохранения Самарская областная клиническая больница имени В.Д. Середавина,Самара,Без опыта,https://samara.hh.ru/vacancy/94051613?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр,от 35000,₽,ГБОУ школа-интернат № 111 г.о. Самара,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93875419?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр,20000 – 20000,₽,МБОУ Школа № 24 г.о. Самара,Самара,Без опыта,https://samara.hh.ru/vacancy/93854994?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр,от 100000,₽,Клиника Edengard,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/93811092?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр,от 47000,₽,ГБУЗ СО Самарская станция скорой медицинской помощи,Самара,Без опыта,https://samara.hh.ru/vacancy/93794081?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр участковый (Самара),от 60000,₽,ГБУЗ СО Волжская Районная Клиническая Больница,Самара,Без опыта,https://samara.hh.ru/vacancy/93809861?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр,52860 – 69970,₽,Государственное бюджетное учреждение здравоохранения Калининградской области Городская станция скорой медицинской помощи,Самара,Без опыта,https://samara.hh.ru/vacancy/93683319?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-педиатр/врач общей практики/семейный врач,от 46000,₽,"Детский центр Березки, МАУ",Самара,Без опыта,https://samara.hh.ru/vacancy/93758391?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
